Artist,Year,Month,Where
Streetlight Manifesto,2009,July,"Oceanport, NJ"
Big D & The Kid's Table,2009,July,"Oceanport, NJ"
Less Than Jake,2009,July,"Oceanport, NJ"
Flogging Molly,2009,July,"Oceanport, NJ"
Meg & Dia,2009,July,"Oceanport, NJ"
J. Mascis,2011,August,"Manhattan, NY"
Xiu Xiu,2011,September,"Ithaca, NY"
Kindest Lines,2011,September,"Ithaca, NY"
Hedgehog,2011,September,"Ithaca, NY"
Passion Pit,2011,November,"Ithaca, NY"
Caravels,2011,November,"Ithaca, NY"
White Guilt,2011,November,"Ithaca, NY"
Analecta,2011,November,"Ithaca, NY"
Chin Up!,2011,November,"Ithaca, NY"
Hunger Pains,2011,November,"Ithaca, NY"
Das Racist,2012,January,"Amityville, NY"
Bomb The Music Industry!,2012,January,"Amityville, NY"
Ancient Tongue,2012,January,"Amityville, NY"
The Twees,2012,January,"Amityville, NY"
Jeff Mangum,2012,January,"Brooklyn, NY"
The Music Tapes,2012,January,"Brooklyn, NY"
The Black Keys,2012,March,"Philadelphia, PA"
The Arctic Monkeys,2012,March,"Philadelphia, PA"
Why?,2012,February,"Manhattan, NY"
Wilco,2012,July,"Brooklyn, NY"
Lee Ranaldo Band,2012,July,"Brooklyn, NY"
Head And The Heart,2012,July,"Brooklyn, NY"
Lost In The Trees,2012,July,"Brooklyn, NY"
Bloc Party,2012,August,"Manhattan, NY"
The Drums,2012,August,"Manhattan, NY"
Joyce Manor,2012,August,"Philadelphia, PA"
Algernon Cadwallader,2012,August,"Philadelphia, PA"
Tiger's Jaw,2012,August,"Philadelphia, PA"
Kite Party,2012,August,"Philadelphia, PA"
We Were Promised Jetpacks,2012,September,"Manhattan, NY"
The Lonely Forest,2012,September,"Manhattan, NY"
Why?,2012,September,"Brooklyn, NY"
DoseOne,2012,September,"Brooklyn, NY"
Serengeti,2012,September,"Brooklyn, NY"
DJ Thanksgiving Brown,2012,September,"Brooklyn, NY"
K'naan,2012,September,"Manhattan, NY"
Band of Horses,2012,September,"Manhattan, NY"
The Black Keys,2012,September,"Manhattan, NY"
